Clock frequency is approx. 400.3 MHz
Memory mountain (MB/sec)
        s1      s2      s3      s4      s5      s6      s7      s8      s9      s10     s11     s12     s13     s14     s15
128m    2151    1530    1142    897     756     632     550     487     436     364     341     351     328     321     314
64m     2148    1522    1154    926     783     660     599     509     451     443     369     362     366     350     339
32m     2251    1532    1250    1022    860     728     630     592     553     566     507     466     478     470     478
16m     2449    2283    2052    1851    1691    1492    1302    1269    1184    1105    1088    1022    961     948     954
8m      2726    2638    2454    2244    2034    1859    1677    1491    1417    1349    869     1189    1110    1049    1033
4m      2727    2650    2465    2222    2095    1888    1712    1550    1457    1360    1258    1194    1111    1056    1045
2m      2728    2633    2483    2285    2096    1915    1734    1592    1532    1476    1425    1386    1308    1324    1339
1024k   2709    2640    2539    2430    2353    2262    2138    2064    2095    2088    2110    2100    2093    2083    2072
512k    2725    2656    2563    2472    2385    2300    2206    2107    2131    2128    2106    2105    2098    2090    2075
256k    2723    2655    2553    2465    2384    2300    2206    2099    2125    2125    2072    2062    2088    2082    2070
128k    2728    2640    2557    2451    2380    2280    2201    2064    2112    2080    2104    2087    2072    1967    2050
64k     2722    2640    2548    2415    2328    2240    2131    1991    2037    2010    2347    2180    2322    2489    2277
32k     2834    2827    2797    2628    2552    2584    2571    2138    2238    2380    2484    2366    2014    2498    2307
16k     2714    2619    2612    2496    2602    2553    2532    2113    2106    2350    2007    1904    1963    1837    2164
